title,user,fase,category,author,year,tutor,context,detail,excerpt,content,pic,zoom
Kits de Ayudar Humanitaria,brigadas de emergencia y rescate,emergencia,a2,Pilar Molina,2016,José Manuel Allard,Proyecto de Título,,Para las donaciones se generó un sistema de etiquetas de descarga gratuita para poder rotular kits a muy bajo costo. Junto con estas etiquetas se le entra un código cromático a cada kita mediante cintas de embalaje de color.,"<p>La convergencia material, posterior a una emergencia, genera un impacto negativo, ya que llegan grandes masas de donaciones sin identificación gráfica, de las cuales un 50- 70% no tienen prioridad para los afectados, provocando un desfase temporal entre la recepción de donaciones y la entrega de ayuda a los damnificados.</p><p>Kits de Ayuda Humanitaria consiste en un sistema para la gestión de ayuda humanitaria en situaciones de emergencia, compuesto por una estrategia de información para la categorización y rotulado de donaciones materiales a través de kits.</p><p>Su objetivo es optimizar la gestión de donaciones materiales a través de una estrategia de kits con su correcta identificación gráfica, supliendo las necesidades reales de los afectados por una catástrofe natural de manera eficaz.</p><p>De esta forma, los kits de ayuda humanitaria pueden entregarse de 3 maneras: a modo de kit para el abastecimiento oficial en situaciones de emergencia, para el manejo de las donaciones privadas para el abastecimiento estatal y como kits de retail para la auto-preparación y la facilitación de las donaciones. Al emplear kits ya armados en los centros de acopio, también se reducen los tiempos de gestión y organización de los productos.</p>",img/foto-pag15.jpg,img/foto-pag15-zoom.png
Contra,brigadas de emergencia y rescate,emergencia,a2,Cristopher Leiva,2011,Alberto González,Proyecto de Título,,Disminuir el riesgo de sufrir estrés térmico y mejorar movilidad del usuario en el combate de incendios en la misión es la misión de Contra,"<p>Sistema de indumentaria de seguridad para el brigadista que combate incendios forestales, mediante una propuesta de diseño con criterios basados en la combinación de innovación, confort y seguridad.</p><p>Su diseño surgió ante un insuficiente desarrollo de indumentaria de seguridad especializada para brigadistas forestales y la oportunidad de innovar en éstos, conociendo los riesgos asociados que puede provocar una mala implementación de los mismos.</p><p>Contra es un traje que disminuye el riesgo de sufrir estrés térmico y mejora la movilidad del usuario en el combate de incendios forestales, evitando que aumente la temperatura interna del combatiente, mejorando su desempeño en situaciones críticas, gracias a las posibilidades de ajuste, ventilación, separación y visibilidad, entre otras características.</p>",img/foto-pag30.jpg,img/foto-pag30-zoom.jpg
Subliminal,consumidores,preparación,b1,"Ricardo Contesse, Francisca Salomón, Álvaro Santana, Ana Vásquez",2016,Alberto González,Ejercicio de Postgrado,Taller de Investigación en Diseño de Productos y Servicios,"Incorporación de información –a través de ilustraciones– en vasos desechables utilizados cotidianamente, con el objeto de educar de manera subliminal sobre situaciones de emergencia en Chile","<p>Subliminal propone rediseñar la experiencia de informarse/educarse sobre emergencias en las etapas previas a la ocurrencia de un desastre. El proyecto Subliminal, consiste en la incorporación de información –a través de ilustraciones– en vasos desechables utilizados cotidianamente, con el objeto de educar de manera subliminal sobre situaciones de emergencia en Chile y cómo enfrentarlas correctamente.</p><p>Las tres propuestas tienen como objetivo sacar a conversación la temática de desastres naturales en Chile, de distinta manera. Ya sea a través de historias y datos duros de sucesos ocurridos a lo largo de Chile; imágenes panorámicas, casi como de souvenir, o bien utilizando imágenes y un lenguaje más accesible para llegar a una población jóven (niños), con la finalidad de que puedan entender qué son y por qué suceden los desastres naturales.</p>",img/foto-pag33-arriba.png,img/foto-pag33-arriba-zoom.jpg
SOS Chile,extranjeros,preparación,c1,"Xaviar García, Carolina Melo, Nicolás Opazo",2016,Rodrigo Ramírez,Ejercicio de Postgrado,Información Visual,"Sistema de información básica para el usuario extranjero, para enfrentar emergencias de manera preventiva y centralizada, utilizando un lenguaje simple y universal, con el objetivo de empoderar al usuario y que sepa qué hacer ante situaciones de emergencia en nuestro país","<p>SOS Chile propone un sistema de información básica para el usuario extranjero, para enfrentar emergencias de manera preventiva y centralizada, utilizando un lenguaje simple y universal, con el objetivo de empoderar al usuario y que sepa qué hacer ante situaciones de emergencia en nuestro país.</p><p>Antes de su viaje, el usuario avanzado puede navegar en la web y encontrar el sistema central de información básica para enfrentar emergencias SOS Chile. En esta plataforma estará el número central, números específicos para cada tipo de emergencia, información de contacto con embajadas y protocolos básicos de qué hacer frente a ciertas situaciones.</p><p>Durante su vuelo a Chile, el extranjero menos precavido tendrá tiempo y disposición para recibir información, lo que permite familiarizarlo con el sistema SOS, además de entregarle información preventiva sobre cómo enfrentar emergencias en el país. En su llegada al aeropuerto, el extranjero recibirá la tarjeta informativa al pasar por Policía Internacional, percibiendo así importancia de recibir esta información.</p><p>Por otra parte, al descargar la aplicación, el usuario podrá comunicarse en forma directa con la central SOS Chile, así como con todos los números de emergencia o recibir información precisa sobre cómo actuar ante una situación de riesgo o desastre natural.</p>",img/foto-pag17-arriba.png,img/foto-pag17-arriba-zoom.png
Kit de emergencia para niños,familias,"preparación, emergencia",d1 d2,Margarita Valenzuela,2010,José Manuel Allard,Ejercicio de Pregrado,Taller VII-VIII,"Kit colaborativo para niños, con la idea de que éstos participen de su armado junto a sus padres","<p>Las emergencias son parte de la realidad chilena, por lo tanto, la información debiese ser incorporada en la educación desde la niñez.</p><p>Desde ahí es que se proyectó este Kit colaborativo para niños, con la idea de que éstos participen de su armado junto a sus padres. Una caja armable con información acerca de los desastres, el plan de acción que se debe tomar en cuenta para cada uno de ellos y una lista de objetos básicos que se debe tener en una emergencia.</p>",img/foto-pag35-abajo.png,img/foto-pag35-abajo-zoom.jpg
Mio,familias,emergencia,d2,"Magdalena Garcés, Olivia Garreaud, Josefina Maiza, Isabel Serrano",2016,"Begoña Julia, Juan Cristobal Karich, Raimundo Molina, José Manuel Velez",Ejercicio de Pregrado,Taller IV,"Mio es un producto que permite al usuario cambiarse de ropa, de manera independiente y resguardando su privacidad e intimidad en todo momento","<p>En un contexto de albergues de emergencia, la delimitación de espacios íntimos acontece como una problemática debido a la escacés de estos.</p><p>La privacidad e intimidad entonces se ve profundamente afectada, por lo que acciones básicas como el cambiarse de ropa, se vuelve muy complicado, especialmente para las mujeres. De esta necesidad nace Mio.</p><p>Mio es un producto que permite al usuario cambiarse de ropa, de manera independiente y resguardando su privacidad e intimidad en todo momento. Consiste en un tubo de algodón con un cordón ajustable en uno de sus extremos, que sirve para dar soporte al cambiador, ajustándose tanto a la cintura como al cuello; con bolsillos sin fondo que permiten introducir las manos para quitarse la ropa y una bolsa elástica que sirve de packaging y al mismo tiempo para guardar la ropa interior mientras el usuario está haciendo uso del producto.</p>","img/foto-pag17-abajo.png, img/foto-pag1-abajo.png",img/foto-pag17-abajo-zoom.png
KO,familias,emergencia,d2,Verónica Blanco,2015,Tomás Vivanco,Proyecto de Título,,"La mayor ventaja comparativa de KO es que gracias a su sistema cerrado de reutilización de agua, sería la única alternativa de ducha móvil disponible en el mercado que no requiere de un sistema de alcantarillado","<p>KO es un sistema de ducha de emergencia que provee una solución sanitaria inmediata para los damnificados. Fue diseñado para dignificar y mejorar la calidad de vida de los afectados por expulsiones forzosas tras desastres naturales o administrativos.</p><p>Provee módulos de ducha para que una familia entera, de hasta 5 personas, pueda ducharse de manera higiénica y segura durante 14 días con sólo 145 lts de agua limpia, que es reutilizada mediante un complejo sistema de filtros.</p><p>KO está elevado del piso por cuatro ruedas todo terreno. Los suelos húmedos pueden exponer a los usuarios a la suciedad, los gérmenes y el frío. La base con ruedas de KO se adapta a variados tipos de suelo y ambiente (cemento, piedra, arena o pasto) y estas tienen frenos para asegurarla en terrenos inclinados.</p>",img/foto-pag22.png,img/foto-pag22-zoom.png
Baby Pro-Tek,familias,emergencia,d2 i2,Loreto Della Maggiora,2015,Tomás Vivanco,Proyecto de Título,,"Baby Pro-Tek está diseñador para proteger al recién nacido, aislando de temperaturas no apropiadas para su desarrolllo y de ambientes insalubres en caso de catástrofe","<p>Los recién nacidos se encuentran vulnerables de forma imprevista dentro del contexto insalubre que rodea la catástrofe. Los cambios de temperatura y las infecciones que abundan son las principales amenazas a los que se ven expuestos, al encontrarse desprovistos de un sistema inmune y termorregulador suficientemente maduros.</p><p>Baby Pro-Tek es un sistema protector que aísla al recién nacido de temperaturas no apropiadas para su desarrollo y de ambientes insalubres en caso de catástrofe, con el fin de lograr mantener con vida al recién nacido y así disminuir el índice de mortalidad infantil post catástrofe en Chile.</p><p>Está confeccionado en base a un siliconado acolchado, hipora lite rip-stop, poliéster, thermashell y thermaheat, permitiendo reflectar los rayos infrarrojos que emite nuestro cuerpo y, con eso, conservar e incrementar la temperatura en un 20% al interior.</p>",img/foto-pag23.jpg,img/foto-pag23-zoom.jpg
El Casco,reclusos,emergencia,e2,"Macarena Alfaro, Fernanda Larraín",2016,"Mariana Kaplún, Zinnia Silva",Ejercicio de Pregrado,Taller VI-VIII,Casco surge de la observación del tiempo de espera que viven los internos en caso de producirse un terremoto,"<p>Realizado en conjunto con los internos del módulo 5 de la cárcel Colina II, Casco surge de la observación del tiempo de espera que viven los internos en caso de producirse un terremoto. Según el protocolo, los internos deben mantenerse resguardados en sus piezas hasta que lleguen los Gendarmes, que son los encargados de ir en su búsqueda. Justamente es pensando en ese lapso de tiempo desprotegidos, que se desarrolló este casco, que busca proteger a los internos de Colina II en caso de terremoto y al mismo tiempo funciona como contenedor colgante.</p><p>Es un casco resistente y amigable con el medio ambiente, hecho a partir de materiales reciclados y presentes en el penal de Colina II, uno de los más grandes del país, cuya población aproximada supera los 2000 internos.</p>",img/foto-pag33-abajo.png,img/foto-pag33-abajo-zoom.png
Bee-da,rubros de agricultura,mitigacion,f4,"Camila Espinoza, Javiera Grez, Carolina Pacheco, Mería Jesús Soto-Luque",2016,"Bernardita Figueroa, Joaquín Rosas",Ejercicio de Pregrado,Taller VI,Bee-da permite reforestar el territorio nacional con flora nativa melifera para ayudar a la nutrición de las abejas.,"<p>Las abejas en Chile están muriendo a una tasa fija del 8% anual, producto de la falta de flora melífera que da néctar y polen y permite la nutrición de las abejas. Si la tasa se mantiene, en 15 años será una especie en riesgo de desaparecer en Chile.</p><p>Bee-da busca ayudar a las abejas mediante la reforestación de flora nativa melífera en Chile para aumentar su alimento y detener así su despoblamiento.</p><p>Consiste en pastillas de arcilla roja, fibra de coco y semillas que permiten reforestar el territorio mediante una fácil aplicación en la tierra. Tiene un packaging biodegradable de turba prensada, para enterrar fácilmente junto a la pastilla durante actividades al aire libre. Cada pastilla trae semillas nativas de una zona específica del país, ya sea norte, centro o sur, la cual puede ser plantada en cualquiera de los 14 Parques Nacionales indicados a lo largo de Chile.</p>",img/foto-pag25-abajo.png,img/foto-pag25-abajo-zoom.jpg
